timestamp,value
11 AUG,3238
12 AUG,2276
13 AUG,3159
14 AUG,2694
15 AUG,3048
16 AUG,2636
17 AUG,3820
18 AUG,3036
19 AUG,2581
20 AUG,2738
21 AUG,2432
22 AUG,2700
23 AUG,2369
24 AUG,2375
25 AUG,2357
26 AUG,2108
27 AUG,1959
28 AUG,2339
29 AUG,1860
30 AUG,2896
31 AUG,2320
1 SEP,2122
2 SEP,2698
3 SEP,2908
4 SEP,2859
5 SEP,2561
6 SEP,2581
7 SEP,2500
8 SEP,2355
9 SEP,2715
