timestamp,value
14 MAY,19851
15 MAY,20888
16 MAY,24267
17 MAY,20357
18 MAY,19220
19 MAY,30038
20 MAY,38658
21 MAY,30843
22 MAY,28510
23 MAY,29421
24 MAY,33051
25 MAY,61369
26 MAY,140605
27 MAY,164397
28 MAY,160461
29 MAY,137705
30 MAY,159269
31 MAY,155734
1 JUN,164482
2 JUN,146048
3 JUN,131391
4 JUN,119950
5 JUN,132750
6 JUN,114522
7 JUN,131204
8 JUN,107058
9 JUN,108384
10 JUN,131119
11 JUN,126298
12 JUN,127052
